,Mission,Launch Date,launch_link,mission_headline
69,Starlink Mission,"SEPTEMBER 13, 2021",/launches/starlink-update-09-13-2021/," On Monday, September 13 at 8:55 p.m. PDT, SpaceX launched 51Starlinksatellites from Space Launch Complex 4E (SLC-4E) at Vandenberg Air Force Base in California.,  This was the tenth launch and landing of this Falcon 9 first stage booster, which previously launched the Telstar 18 VANTAGE, Iridium-8, and seven Starlink missions."
70,CRS-23 Mission,"AUGUST 29, 2021",/launches/crs-23-mission/, SpaceX © 2024PRIVACY POLICYSUPPLIERS
71,Dragon Returns to Earth for CRS-22 Mission,"JULY 09, 2021",/launches/crs-22-splashdown/," SpaceX’s Dragon spacecraft completed its 22nd Commercial Resupply Services (CRS-22) mission to and from the International Space Station for NASA, successfully returning to Earth and splashing down off the coast of Florida on Friday, July 9 at 11:30 p.m. EDT.,  Dragon undocked from the International Space Station on Thursday, July 8 at 10:45 a.m. EDT and then performed three burns of its Draco thrusters to move away from the orbiting laboratory. After approximately 37 hours of phasing, the spacecraft re-entered Earth’s atmosphere and deployed its two drogue and four main parachutes for a soft water landing in the Gulf of Mexico."
72,Transporter-2 Mission,"JUNE 30, 2021",/launches/transporter-2-mission/," On Wednesday, June 30 at 3:31 p.m. EDT, Falcon 9 launched theTransporter-2, SpaceX’s second dedicatedSmallSat Rideshare Programmission, from Space Launch Complex 40 at Cape Canaveral Space Force Station in Florida. The mission also marked SpaceX’s second launch to a polar orbit from Florida. This was the eighth launch and landing of this Falcon 9 first stage booster in exactly one year, including launch of GPS III Space Vehicle 03, Turksat 5A, and five Starlink missions. Following stage separation, SpaceX landed Falcon 9’s first stage on Landing Zone 1 (LZ-1) at Cape Canaveral Space Force Station.,  On board this launch were 85 commercial and government spacecraft (including CubeSats, microsats, and orbital transfer vehicles) and 3 Starlink satellites. While there were fewer spacecraft on board compared to Transporter-1, this mission launched more mass to orbit for SpaceX’s customers."
73,GPS III Space Vehicle 05 Mission,"JUNE 17, 2021",/launches/gps3-mission-06-17-2021/," On Thursday, June 17 at 12:09 p.m. EDT, Falcon 9 launched theGPS III Space Vehicle 05 missionfrom Space Launch Complex 40 at Cape Canaveral Space Force Station in Florida. This was the second launch and landing of this Falcon 9 stage booster, which previously supported launch of GPS III Space Vehicle 04. Following stage separation, SpaceX landed Falcon 9’s first stage on the “Just Read the Instructions” droneship, located in the Atlantic Ocean.,  SpaceX © 2024PRIVACY POLICYSUPPLIERS"
74,SXM-8 Mission,"JUNE 17, 2021",/launches/sxm-8/," On Sunday, June 6 at 12:26 a.m. EDT, Falcon 9 launched theSXM-8mission from Space Launch Complex 40 at Cape Canaveral Space Force Station in Florida.,  This was the third launch and landing of this Falcon 9 first stage booster, which previously launched NASA astronauts on the Crew-1 and Crew-2 missions to the International Space Station. Following stage separation, Falcon 9’s first stage landed on the “Just Read the Instructions” droneship, located in the Atlantic Ocean."
75,CRS-22 Mission,"JUNE 03, 2021",/launches/crs-22-mission/," On Thursday, June 3 at 1:29 p.m. EDT Falcon 9 launched Dragon on the twenty-second Commercial Resupply Services mission (CRS-22) from Launch Complex 39A (LC-39A) at Kennedy Space Center, Florida. Following stage separation, Falcon 9’s first stage landed on the “Of Course I Still Love You” droneship, located in the Atlantic Ocean. Dragon separated from Falcon 9’s second stage about twelve minutes after liftoff and will autonomously dock to the Station on Saturday, June 5.,  SpaceX © 2024PRIVACY POLICYSUPPLIERS"
76,Starlink Mission,"MAY 26, 2021",/launches/starlink-mission-05-26-2021/," On Wednesday, May 26 at 2:59 p.m. EDT, SpaceX launched 60Starlinksatellites from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the second launch and landing of this Falcon 9 first stage booster, which previously launched the Sentinel-6A mission."
77,Starlink Mission,"MAY 15, 2021",/launches/starlink-mission-05-15-2021/," On Saturday, May 15 at 6:56 p.m. EDT, SpaceX launched 52 Starlink satellites, a Capella Synthetic Aperture Radar (SAR) satellite, and Tyvak-0130 from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida.,  This was the eighth launch and landing of this Falcon 9 first stage booster, which previously launched NASA astronauts Bob Behnken and Doug Hurley to the International Space Station, ANASIS-II, CRS-21, Transporter-1, and three Starlink missions."
78,Starlink Mission,"MAY 09, 2021",/launches/starlink-mission-05-09-2021/," On Sunday, May 9 at 2:42 a.m. EDT, Falcon 9 launched 60 Starlink satellites from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida. After stage separation, Falcon 9’s first stage returned to Earth and landed on the “Just Read the Instructions” droneship.,  This was the first Falcon 9 first stage booster to complete a tenth launch and landing. The first stage booster previously supported Crew Dragon’s first demonstration mission to the International Space Station, the RADARSAT Constellation Mission, SXM-7, and now seven Starlink missions."
79,Starship SN15,"MAY 05, 2021",/launches/starship-sn15-flight-test/," On Wednesday, May 5, Starship serial number 15 (SN15) successfully completed SpaceX’s fifth high-altitude flight test of a Starship prototype from Starbase in Texas.,  Similar to previous high-altitude flight tests ofStarship, SN15 was powered through ascent by three Raptor engines, each shutting down in sequence prior to the vehicle reaching apogee – approximately 10 km in altitude. SN15 performed a propellant transition to the internal header tanks, which hold landing propellant, before reorienting itself for reentry and a controlled aerodynamic descent."
80,Starlink Mission,"MAY 04, 2021",/launches/sl25/," On Tuesday, May 4 at 3:01 p.m. EDT, SpaceX launched 60Starlinksatellites from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida.,  This was the ninth launch and landing of this Falcon 9 first stage booster, which previously launched Telstar 18 VANTAGE, Iridium-8, and six Starlink missions."
81,Dragon Returns to Earth,"MAY 02, 2021",/launches/crew-1-returns-to-earth/," After 167 days in space, the longest duration mission for a U.S. spacecraft since the final Skylab mission in 1974, Dragon and the Crew-1 astronauts,Mike Hopkins,Victor Glover,Shannon Walker, andSoichi Noguchi, returned to Earth on Sunday, May 2, 2021.,  Dragon autonomously undocked from the International Space Station at 8:35 p.m. EDT on Saturday, May 1. The spacecraft performed a series of departure burns to move away from the orbiting laboratory. Before reentry, Dragon jettisoned its trunk to reduce weight and mass to help save propellant for the deorbit burn. The spacecraft then re-entered the Earth’s atmosphere and deployed its two drogue and four main parachutes in preparation for the soft water landing."
82,Starlink Mission,"APRIL 28, 2021",/launches/starlink-mission-04-28-2021/," On Wednesday, April 28 at 11:44 p.m. EDT, SpaceX launched 60Starlinksatellites from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida. This was the seventh launch and landing of this Falcon 9 first stage booster, which previously launched GPS III Space Vehicle 03, Turksat 5A, and four Starlink missions.,  You can watch a replay of this mission above."
83,CREW-2 MISSION,"APRIL 24, 2021",/launches/crew-2-mission/," On Saturday, April 24 at 5:08 a.m. EDT, 9:08 UTC, SpaceX’s Dragon autonomously docked with the International Space Station (ISS) after Falcon 9launchedthe spacecraft to orbit from historic Launch Complex 39A (LC-39A) at NASA’s Kennedy Space Center in Florida on Friday, April 23 at 5:49 a.m. EDT, 9:49 UTC.,  This is the first human spaceflight mission to fly astronauts on a flight-proven Falcon 9 and Dragon. The Falcon 9 first stage supporting this mission previously launched theCrew-1mission in November 2020, and the Dragon spacecraft previously flewRobert BehnkenandDouglas Hurleyto and from the International Space Station during SpaceX’sDemo-2mission in 2020."
84,Starlink Mission,"APRIL 07, 2021",/launches/starlink-mission-04-07-2021/," On Wednesday, April 7 at 12:34 p.m. EDT, SpaceX launched 60Starlinksatellites from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida. This was the seventh launch and landing of this Falcon 9 first stage booster, which previously launched NASA astronauts Bob Behnken and Doug Hurley to the International Space Station, ANASIS-II, CRS-21, Transporter-1, and two Starlink missions. One half of Falcon 9’s fairing previously supported the AMOS-17 and two Starlink missions, and the other supported one Starlink mission.,  You can watch a replay of this mission above."
85,Starship SN11 High-Altitude Flight Test,"MARCH 30, 2021",/launches/starship-sn11-flight-test/," On Tuesday, March 30, SpaceX launched its fourth high-altitude flight test of Starship from Starbase in Texas. Similar to previous high-altitude flight tests,StarshipSerial Number 11 (SN11) was powered through ascent by three Raptor engines, each shutting down in sequence prior to the vehicle reaching apogee – approximately 10 km in altitude. SN11 performed a propellant transition to the internal header tanks, which hold landing propellant, before reorienting itself for reentry and a controlled aerodynamic descent.,  Shortly after the landing burn started, SN11 experienced a rapid unscheduled disassembly. Teams will continue to review data and work toward our next flight test."
86,Starlink Mission,"MARCH 24, 2021",/launches/starlink-mission-03-24-2021/," On Wednesday, March 24 at 4:28 a.m. EDT, SpaceX launched 60Starlinksatellites from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida. This was the sixth launch and landing of this Falcon 9 first stage booster, which previously supported launch of GPS-III Space Vehicle 03, Turksat 5A, and three Starlink missions. One half of Falcon 9’s fairing supported the Sentinel-6A mission and the other supported a previous Starlink mission.,  You can watch a replay of this mission above."
87,Starlink Mission,"MARCH 14, 2021",/launches/starlink-mission-03-14-2021/," On Sunday, March 14 at 6:01 a.m. EDT, SpaceX launched 60Starlinksatellites from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida. This was the ninth launch and landing of this Falcon 9 first stage booster, which previously supported launch of Crew Dragon Demo-1, RADARSAT Constellation, SXM-7, and five Starlink missions.,  You can watch a replay of this mission above."
88,Starlink Mission,"MARCH 11, 2021",/launches/starlink-mission-03-11-2021/," On Thursday, March 11 at 3:13 a.m. EST, SpaceX launched 60Starlinksatellites from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida. This was the sixth launch and landing of this Falcon 9 booster, which previously supported launch of NASA astronauts Bob Behnken and Doug Hurley to the International Space Station, ANASIS-II, CRS-21, Transporter-1, and a Starlink mission.,  You can watch a replay of this mission above."
89,Starlink Mission,"MARCH 04, 2021",/launches/starlink-mission-03-04-2021/," On Thursday, March 4 at 3:24 a.m. EST, SpaceX launched 60Starlinksatellites from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida. This was the eighth launch of this Falcon 9 booster, which previously supported Iridium-8, Telstar 18 VANTAGE, and five Starlink missions.,  You can watch a replay of this mission above."
90,Starship SN10 High-Altitude Flight Test,"MARCH 03, 2021",/launches/starship-sn10-flight-test/," On Wednesday, March 3, Starship serial number (SN10) successfully completed SpaceX’s third high-altitude flight test of a Starship prototype from our site in Cameron County, Texas.,  Similar to the high-altitude flight tests of StarshipSN8andSN9, SN10 was powered through ascent by three Raptor engines, each shutting down in sequence prior to the vehicle reaching apogee – approximately 10 km in altitude. SN10 performed a propellant transition to the internal header tanks, which hold landing propellant, before reorienting itself for reentry and a controlled aerodynamic descent."
91,Starlink Mission,"FEBRUARY 15, 2021",/launches/starlink-mission-02-15-2021/," On Monday, February 15 at 10:59 p.m. EST, SpaceX launched 60Starlinksatellites from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the sixth launch of this Falcon 9 booster, which previously supported Dragon’s 19th and 20th cargo resupply missions to the International Space Station, SAOCOM 1B, NROL-108, and a Starlink mission."
92,Starlink Mission,"FEBRUARY 04, 2021",/launches/starlink-mission-02-04-2021/," On Thursday, February 4 at 1:19 a.m. EST, SpaceX launched 60 Starlink satellites from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  Following stage separation, Falcon 9s first stage successfully returned to Earth and landed on the “Of Course I Still Love You” droneship stationed in the Atlantic Ocean, completing this boosters fifth launch and landing."
93,Starship SN9 High-Altitude Flight Test,"FEBRUARY 02, 2021",/launches/starship-sn9-flight-test/," On Tuesday, February 2, Starship serial number 9 (SN9) completed SpaceX’ssecond high-altitude flight test of a Starshipprototype from our site in Cameron County, Texas.,  Similar to thehigh-altitude flight test of Starship serial number 8 (SN8), SN9 was powered through ascent by three Raptor engines, each shutting down in sequence prior to the vehicle reaching apogee – approximately 10 kilometers in altitude. SN9 successfully performed a propellant transition to the internal header tanks, which hold landing propellant, before reorienting itself for reentry and a controlled aerodynamic descent."
94,Transporter-1 Mission,"JANUARY 24, 2021",/launches/transporter-1-mission/," On Sunday, January 24 at 10:00 a.m. EST, Falcon 9 launchedTransporter-1, SpaceX’s first dedicatedSmallSat Rideshare Programmission, from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  Falcon 9’s first stage booster previously supported launch of Crew Dragon’s second demonstration mission, the ANASIS-II mission, a Starlink mission, and launch of Dragon’s 21st cargo resupply mission to the International Space Station. Following stage separation, Falcon 9’s first stage landed on the Of Course I Still Love You droneship, stationed in the Atlantic Ocean."
95,Starlink Mission,"JANUARY 20, 2021",/launches/starlink-mission-01-20-2021/," On Wednesday, January 20 at 8:02 a.m. EST, SpaceX launched 60 Starlink satellites to orbit from Launch Complex 39A (LC-39A) at Kennedy Space Center, completing the seventeenthStarlink mission.,  Following first-stage separation, Falcon 9 successfully landed for the eighth time on the “Just Read the Instructions” droneship, which was stationed in the Atlantic Ocean. Falcon 9’s first stage booster rocket previously supported seven other missions: the SXM-7 mission in December 2020, launch of the RADARSAT Constellation Mission in June 2019, launch of Crew Dragon’s first demonstration mission in March 2019, and four Starlink missions. One half of Falcon 9’s fairing previously supported a Starlink mission and the other previously supported two."
96,UPGRADED DRAGON RETURNS TO EARTH,"JANUARY 13, 2021",/launches/crs-21-splashdown/," SpaceX’s upgraded Dragon spacecraft completed its first cargo resupply mission to and from the International Space Station, and SpaceX’s 21st Commercial Resupply Services (CRS-21) mission for NASA to-date, after successfully returning to Earth on Wednesday, January 13 at 8:36 p.m. EST and becoming the first cargo spacecraft to splash down off the coast of Florida. Returning closer to NASA’s Kennedy Space Center in Florida enables a quick handover of the scientific research on board the spacecraft to the agency’s processing facility and into the hands of researchers.,  This was the first flight of the updated cargo version of Dragon, which is capable of carrying about 20 percent more volume than the previous version of Dragon and double the amount of powered locker cargo. It has the capability to allow science payloads to remain inside the spacecraft during the full mission’s duration as an extension to the space station lab space, also known as extend-the-lab. Dragon’s new design also permits for up to five flights to and from the space station, and this cargo version of the spacecraft can stay on station more than twice as long as the previous version."
97,Turksat 5A Mission,"JANUARY 07, 2021",/launches/turksat-5a-mission/," On Thursday, January 7 at 9:15 p.m. EST, SpaceX launched theTurksat 5A missionfrom Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida – SpaceX’s first mission of 2021.,  Falcon 9’s first stage booster previously supported launch of GPS III Space Vehicle 03 and two Starlink missions. Following stage separation, SpaceX landed Falcon 9’s first stage on the Just Read the Instructions droneship, which was stationed in the Atlantic Ocean. Falcon 9’s fairings were also flight-proven: one half previously supported the GPS III Space Vehicle 03 mission and the other flew aboard the ANASIS-II mission."
98,NROL-108 Mission,"DECEMBER 19, 2020",/launches/nrol-108-mission/," On Saturday, December 19 at 9:00 a.m. EST, Falcon 9 launched theNROL-108 missionfrom Launch Complex 39A (LC-39A) at Kennedy Space Center, Florida, completing SpaceX’s 26th and final mission of 2020.,  Falcon 9’s first stage booster previously supported launch of SpaceX’s 19th and 20th cargo resupply missions to the International Space Station, a Starlink mission, and the SAOCOM 1B mission. Following stage separation, SpaceX landed Falcon 9’s first stage on Landing Zone 1 at Cape Canaveral Space Force Station in Florida – the 70th landing for SpaceX."
99,SXM-7 Mission,"DECEMBER 13, 2020",/launches/sxm-7-mission/," On Sunday, December 13 at 12:30 p.m. EST, Falcon 9 launched theSXM-7 missionfrom Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station, Florida - SpaceXs 25th mission in 2020.,  This mission marked the seventh flight of this Falcon 9 first stage rocket booster, which previously supported launch of Crew Dragon’s first flight to the International Space Station (Demo-1), launch of the RADARSAT Constellation Mission, and four Starlink missions in 2020. Following stage separation, SpaceX landed Falcon 9’s first stage on the “Just Read the Instructions” droneship, which was located in the Atlantic Ocean. One half of Falcon 9’s fairing previously supported the ANASIS-II mission in July 2020."
100,STARSHIP SN8 TAKES FLIGHT,"DECEMBER 09, 2020",/launches/starship-sn8-takes-flight/," On Wednesday, December 9, Starship serial number 8 (SN8) lifted off from our Cameron County launch pad and successfully ascended, transitioned propellant, and performed its landing flip maneuver with precise flap control to reach its landing point. Low pressure in the fuel header tank during the landing burn led to high touchdown velocity resulting in a hard (and exciting!) landing. Re-watch SN8s flighthere.,  Thank you to all the locals supporting our efforts in Cameron County and beyond. Congratulations to the entire Starship and SpaceX teams on today’s test! Serial number 9 (SN9) is up next – Mars, here we come!"
101,CRS-21 Mission,"DECEMBER 06, 2020",/launches/crs-21-mission-launch/," On Sunday, December 6, SpaceX launched itstwenty-first Commercial Resupply Services mission (CRS-21),which lifted off from Launch Complex 39A (LC-39A) at Kennedy Space Center, Florida at 11:17 a.m. EST, or 16:17 UTC. Dragon separated from Falcon 9’s second stage about eleven minutes after liftoff and autonomously docked to the space station on Monday, December 7.,  This is the first flight of the updated cargo version of Dragon, which is capable of carrying about 20 percent more volume than the previous version of Dragon and has double the amount of powered locker cargo capability. Dragon is now designed for up to five flights to and from the space station, and this cargo version of the spacecraft can stay on station more than twice as long as the previous version of Dragon."
102,Starlink Mission,"NOVEMBER 24, 2020",/launches/starlink-mission-11-24-2020/," On Tuesday, November 24 at 9:13 p.m. EST, SpaceX launched its sixteenthStarlink missionfrom Space Launch Complex 40 (SLC-40) at Cape Canaveral Air Force Station. The Falcon 9 first stage rocket booster that supported this mission previously flew on six other missions: the Telstar 18 VANTAGE mission in September 2018, the Iridium-8 mission in January 2019, and four Starlink missions in May 2019, January 2020, June 2020, and August 2020. Following stage separation, SpaceX landed Falcon 9’s first stage on the “Of Course I Still Love You” droneship, which was located in the Atlantic Ocean. One half of Falcon 9’s fairing previously supported a mission, and the other half previously supported two.,  You can watch a replay of this mission here."
103,Sentinel-6 Michael Freilich Mission,"NOVEMBER 21, 2020",/launches/sentinel-6-michael-freilich/," On Saturday, November 21 at 9:17 a.m. PST, SpaceX launched theSentinel-6 Michael Freilich missionfrom Space Launch Complex 4E (SLC-4E) at Vandenberg Air Force Base in California.,  Following stage separation, Falcon 9’s first stage returned to Earth and landed on Landing Zone 4 at Vandenberg Air Force Base. The spacecraft deployed approximately 58 minutes after liftoff."
104,Crew-1 Mission,"NOVEMBER 16, 2020",/launches/crew-1-docks-to-iss/," On Monday, November 16 at 11:01 p.m. EST, 04:01 UTC on November 17, SpaceX’s Dragon autonomously docked with the International Space Station (ISS) after Falcon 9launchedthe spacecraft to orbit from historic Launch Complex 39A (LC-39A) at NASA’s Kennedy Space Center in Florida on Sunday, November 15, 2020.,  As part of the Commercial Crew Program, NASA astronautsMike Hopkins,Victor Glover,Shannon Walker, and JAXA astronautSoichi Noguchiflew aboard Dragonon its first six-month operational mission to the space station. After its approximately six-month stay at the orbiting laboratory, Dragon and the astronauts will return to Earth and splashdown in the Atlantic Ocean off the coast of Florida."
105,GPS III Space Vehicle 04 Mission,"NOVEMBER 05, 2020",/launches/gps3-mission-11-05-2020/," On Thursday, November 5 at 6:24 p.m. EST, Falcon 9 completed its second mission this year for the United States Space Force when it launched the GPS III Space Vehicle 04 from Space Launch Complex 40 (SLC-40) at Cape Canaveral Air Force Station in Florida. Following stage separation, SpaceX landed Falcon 9’s first stage on the “Of Course I Still Love You” droneship, which was stationed in the Atlantic Ocean. The spacecraft deployed approximately 1 hour and 29 minutes after liftoff.,  In September 2020, the United States Space Force’s Space and Missile Systems Center (SMC) announced its agreement with SpaceX to launch previously flown first stage boosters on futureNational Security Space Launch (NSSL) missions."
106,Starlink Mission: SpaceX’s 100th Successful Flight,"OCTOBER 24, 2020",/launches/starlink-mission-10-24-2020/," On Saturday, October 24 at 11:31 a.m. EDT, 11:31 UTC, SpaceX’s Falcon 9 rocket launched 60 Starlink satellites to orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Air Force Station in Florida.,  Falcon 9’s first stage previously supported the GPS III Space Vehicle 03 mission in June 2020 and a Starlink mission in September 2020. Following stage separation, SpaceX landed Falcon 9’s first stage on the “Just Read the Instructions” droneship, which was stationed in the Atlantic Ocean. The Starlink satellites deployed approximately 1 hour and 3 minutes after liftoff."
107,STARLINK MISSION,"OCTOBER 18, 2020",/launches/starlink-mission-10-18-2020/," On Sunday, October 18 at 8:25 a.m. EDT, 12:25 UTC, SpaceX launched 60 Starlink satellites from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida.,  Falcon 9’s first stage previously supported Crew Dragon’s first demonstration mission to the International Space Station, launch of the RADARSAT Constellation Mission, and three Starlink missions this year. Following stage separation, SpaceX landed Falcon 9’s first stage on the “Of Course I Still Love You” droneship, which was stationed in the Atlantic Ocean. Falcon 9’s fairing halves each previously supported two missions. The Starlink satellites deployed approximately 1 hour and 3 minutes after liftoff."
108,STARLINK MISSION,"OCTOBER 06, 2020",/launches/starlink-mission-10-06-2020/," On Tuesday, October 6 at 7:29 a.m. EDT, 11:29 UTC, SpaceX launched 60 Starlink satellites from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida. Falcon 9’s first stage previously supported launch of Crew Dragon’s first flight to the International Space Station with NASA astronauts onboard and the ANASIS-II mission. Following stage separation, SpaceX landed Falcon 9’s first stage on the “Of Course I Still Love You” droneship, which was stationed in the Atlantic Ocean. One of Falcon 9’s fairing halves supported two previous Starlink launches, and Ms. Tree successfully caught that fairing half after launch. The Starlink satellites deployed approximately 1 hour and 1 minute after liftoff.,  Last week, emergency responders in Washington Statesharedtheir experience using Starlink. In the wake of the wildfires that devastated areas of the state in August, first responders there have been using the service for their purposes and to help bring the residents of Malden internet service while they rebuild their community. Malden is located about 35 miles south of Spokane, Washington, which falls within the northern latitudes our satellites currently service.  The way emergency responders deployed Starlink in this context is representative of how Starlink works best—in remote or rural areas where internet connectivity is unavailable."
109,STARLINK MISSION,"SEPTEMBER 04, 2020",/launches/starlink-mission-09-03-2020/," On Thursday, September 3 at 8:46 a.m. EDT, 12:46 UTC, SpaceX launched its twelfthStarlink mission, which launched 60 Starlink satellites to orbit. Falcon 9 lifted off from Space Launch Complex 40 (SLC-40) at Cape Canaveral Air Force Station in Florida.,  Falcon 9’s first stage previously supported launch of the GPS III Space Vehicle 03 mission in June 2020. Following stage separation, SpaceX will land Falcon 9’s first stage on the “Of Course I Still Love You” droneship, which will be stationed in the Atlantic Ocean."
110,SAOCOM 1B MISSION,"AUGUST 30, 2020",/launches/saocom1b-08-30-2020/," On Sunday, August 30 at 7:19 p.m. EDT, or 23:19 UTC, SpaceXs Falcon 9 successfully lifted off carrying theSAOCOM 1B mission.  This mission put the SAOCOM 1B spacecraft into orbit as well as two rideshare payloads, Tyvak-0172 and PlanetiQ’s GNOMES-1.,  The mission lifted off from Space Launch Complex 40 (SLC-40) at Cape Canaveral Air Force Station in Florida. This mission marks SpaceX’s first launch to a polar orbit from the East Coast, and the first polar launch from Florida in decades."
111,STARLINK MISSION,"AUGUST 18, 2020",/launches/starlink-mission-08-18-2020/," On Tuesday, August 18 at 10:31 a.m. EDT, SpaceX launched its eleventhStarlink mission, which included 58 Starlink satellites andthree of Planet’s SkySats. Falcon 9 lifted off from Space Launch Complex 40 (SLC-40) at Cape Canaveral Air Force Station in Florida.,  Falcon 9’s first stage previously supported the Telstar 18 VANTAGE mission in September 2018, the Iridium-8 mission in January 2019, and three separate Starlink missions in May 2019, January 2020, and June 2020. Following stage separation, SpaceX landed Falcon 9’s first stage on the “Of Course I Still Love You” droneship, which was stationed in the Atlantic Ocean. Falcon 9’s fairing previously flew on the fourth launch of Starlink and one of SpaceX’s fairing recovery vessels, Ms. Tree, caught a fairing half after launch."
112,STARLINK MISSION,"AUGUST 06, 2020",/launches/starlink-mission-08-06-2020/," On Friday, August 7 at 1:12 a.m. EDT, 5:12 UTC, SpaceX launched its tenthStarlink mission, which included 57 Starlink satellites and 2 satellites from BlackSky, a Spaceflight customer.,  Falcon 9’s first stage previously supported Crew Dragon’s first demonstration mission to the International Space Station, launch of the RADARSAT mission, and the fourth and seventh Starlink missions. Following stage separation, Falcon 9’s first stage landed on the “Of Course I Still Love You” droneship stationed in the Atlantic Ocean."
113,STARSHIP TAKES FLIGHT,"AUGUST 05, 2020",/launches/starship-150m-hop/," On Tuesday, August 4 at 4:56 p.m. CDT in Boca Chica, Texas,Starshipserial number 5 (SN5) lifted-off from its launch mount and flew to a height of 150 meters before successfully touching down on a near-by landing pad.,  On this flight test, SN5 was powered by a single Raptor engine – a reusable methalox full-flow staged-combustion rocket engine. This test flight was an important step in development of SpaceX’s fully reusable transportation system designed to carry both crew and cargo to Earth orbit, the Moon, Mars and beyond."
114,RETURNING HUMAN SPACEFLIGHT TO THE U.S.,"AUGUST 02, 2020",/launches/return-human-spaceflight-america-08-02-2020/," On Saturday, May 30, SpaceX’s Falcon 9 launched Crew Dragon’s second demonstration(Demo-2)mission from Launch Complex 39A (LC-39A) at NASA’s Kennedy Space Center in Florida with NASA astronauts Bob Behnken and Doug Hurley aboard the spacecraft. Dragon autonomously docked to the International Space Station on Sunday, May 31, 2020.,  Sixty-three days later, Crew Dragon undocked and departed from the orbiting laboratory, before successfully splashing down in the Gulf of Mexico off the coast of Pensacola, Florida on Sunday, August 2 at 2:48 p.m. EDT. This test flight marked the return of human spaceflight to the United States and the first-time in history a commercial company successfully took astronauts to orbit and back."
115,ANASIS-II MISSION,"JULY 20, 2020",/launches/anasis-ii-mission-07-20-2020/," On Monday, July 20 at 5:00 p.m., SpaceX’s Falcon 9 launched the ANASIS-II mission from Space Launch Complex 40 (SLC-40) at Cape Canaveral Air Force Station in Florida.,  Falcon 9’s first stage previously launched Crew Dragon to the International Space Station with NASA astronauts Bob Behnken and Doug Hurley on board. Following stage separation, SpaceX landed Falcon 9’s first stage on the “Just Read the Instructions” droneship, which was stationed in the Atlantic Ocean. The ANASIS-II spacecraft deployed about 32 minutes after liftoff."
116,GPS III Space Vehicle 03 MISSION,"JUNE 30, 2020",/launches/gps3-mission-06-30-2020/," On Tuesday, June 30th at 4:10 p.m. ET, 20:10 UTC, SpaceXs Falcon 9 successfully lifted off, carrying the Space Forces GPS III Space Vehicle 03 mission from Space Launch Complex 40 (SLC-40) at Cape Canaveral Air Force Station in Florida.,  Following stage separation, SpaceX landed Falcon 9’s first stage on the “Just Read the Instructions” droneship, stationed in the Atlantic Ocean. The spacecraft deployed approximately 1 hour and 29 minutes after liftoff. You can watch a replay of the launch webcast by clicking the play button above."
117,Starlink Mission,"JUNE 13, 2020",/launches/starlink-mission-06-13-2020/," On Saturday, June 13 at 5:21 a.m. EDT, 9:21 UTC, SpaceX successfully launched its ninth Starlink mission, carrying 58 Starlink satellites and three ofPlanets SkySats. This mission marked SpaceX’s first SmallSat Rideshare Program launch.,  Falcon 9’s first stage previously supported Dragon’s 19th and 20th resupply missions to the International Space Station. Following stage separation, SpaceXs Falcon 9 first stage landed on the “Of Course I Still Love You” droneship stationed in the Atlantic Ocean."
118,Starlink Mission,"JUNE 03, 2020",/launches/starlink-mission-06-03-2020/," On Wednesday, June 3 at 9:25 p.m. EDT, SpaceX launched its eighth Starlink mission. Falcon 9 lifted off from Space Launch Complex 40 (SLC-40) at Cape Canaveral Air Force Station.,  Falcon 9’s first stage previously supported the Telstar 18 VANTAGE mission in September 2018, the Iridium-8 mission in January 2019, and two separate Starlink missions in May 2019 and in January 2020. Following stage separation, SpaceX landed Falcon 9’s first stage on the “Just Read the Instructions” droneship, which was stationed in the Atlantic Ocean."
